 Compression technique; Absolute error; Compression ratio
             sz3_1e-01;   2.100839e-01;      1.807093e+01
             sz3_1e-02;   2.936950e-02;      7.934147e+00
             sz3_1e-03;   2.127040e-02;      3.716781e+00
             sz3_1e-04;   5.464176e-04;      1.269861e+00
             sz3_1e-05;   2.064316e-04;      8.920209e-01
             sz3_1e-06;   3.139630e-06;      1.014495e+00
             sz3_1e-07;   2.576139e-07;      1.052244e+00
             sz3_1e-08;   6.717528e-09;      1.057991e+00
             sz3_1e-09;   6.280061e-10;      1.058523e+00
             sz3_1e-10;   9.094947e-13;      1.061811e+00
             sz3_1e-11;   9.094947e-13;      1.061811e+00
             sz3_1e-12;   9.094947e-13;      1.061797e+00
             sz3_1e-13;   9.094947e-13;      1.061797e+00
             sz3_1e-14;   9.094947e-13;      1.061797e+00
             sz3_1e-15;   9.094947e-13;      1.061797e+00
             sz3_1e-16;   9.094947e-13;      1.061811e+00
             zfp_1e-01;   2.313305e+01;      6.596306e+00
             zfp_1e-02;   2.847021e+00;      5.040323e+00
             zfp_1e-03;   3.686520e-01;      4.076641e+00
             zfp_1e-04;   2.304323e-02;      3.248863e+00
             zfp_1e-05;   2.657017e-03;      2.819284e+00
             zfp_1e-06;   3.490174e-04;      2.490040e+00
             zfp_1e-07;   2.161320e-05;      2.154708e+00
             zfp_1e-08;   2.661129e-06;      1.957330e+00
             zfp_1e-09;   3.546111e-07;      1.792757e+00
             zfp_1e-10;   2.128081e-08;      1.612123e+00
             zfp_1e-11;   2.642082e-09;      1.498801e+00
             zfp_1e-12;   3.374225e-10;      1.400364e+00
             zfp_1e-13;   2.683009e-11;      1.287664e+00
             zfp_1e-14;   3.183231e-12;      1.214477e+00
             zfp_1e-15;   9.094947e-13;      1.149029e+00
             zfp_1e-16;   9.094947e-13;      1.072041e+00
               zfp_r16;   6.506111e-02;      4.000000e+00
               zfp_r32;   8.728962e-07;      2.000000e+00
                double;   9.094947e-13;      1.000000e+00
                 float;   5.644661e-07;      2.000000e+00
