 Compression technique; Absolute error; Compression ratio
             sz3_1e-01;   1.264400e+02;      3.827751e+02
             sz3_1e-02;   1.105660e+01;      3.555556e+02
             sz3_1e-03;   8.736258e-01;      2.446483e+02
             sz3_1e-04;   8.841479e-02;      1.367521e+02
             sz3_1e-05;   5.533823e-04;      1.739130e+02
             sz3_1e-06;   4.065122e-05;      1.315789e+02
             sz3_1e-07;   4.086208e-05;      9.195402e+01
             sz3_1e-08;   2.638180e-07;      2.457757e+01
             sz3_1e-09;   2.470642e-08;      1.225115e+01
             sz3_1e-10;   4.265439e-08;      2.319513e+01
             sz3_1e-11;   3.659807e-09;      1.377173e+01
             sz3_1e-12;   1.000444e-10;      8.488064e+00
             sz3_1e-13;   2.428351e-10;      5.646129e+00
             sz3_1e-14;   2.364686e-11;      3.715573e+00
             sz3_1e-15;   2.546585e-11;      2.964500e+00
             sz3_1e-16;   2.455636e-11;      1.675217e+00
             zfp_1e-01;   2.587109e+01;      9.596929e+00
             zfp_1e-02;   3.148956e+00;      7.824726e+00
             zfp_1e-03;   4.308940e-01;      6.317119e+00
             zfp_1e-04;   2.622753e-02;      4.873294e+00
             zfp_1e-05;   3.041967e-03;      4.159734e+00
             zfp_1e-06;   4.130281e-04;      3.629764e+00
             zfp_1e-07;   2.359599e-05;      2.980626e+00
             zfp_1e-08;   3.039060e-06;      2.615063e+00
             zfp_1e-09;   4.093226e-07;      2.329916e+00
             zfp_1e-10;   2.662637e-08;      2.033760e+00
             zfp_1e-11;   3.299647e-09;      1.856665e+00
             zfp_1e-12;   4.129106e-10;      1.707942e+00
             zfp_1e-13;   4.911271e-11;      1.543210e+00
             zfp_1e-14;   2.364686e-11;      1.439056e+00
             zfp_1e-15;   2.637535e-11;      1.348254e+00
             zfp_1e-16;   2.455636e-11;      1.243472e+00
               zfp_r16;   3.247055e-04;      4.000000e+00
               zfp_r32;   1.276294e-08;      2.000000e+00
                double;   2.455636e-11;      1.000000e+00
                 float;   6.172286e-07;      2.000000e+00
